date,value
01/09/2023,5.19
01/08/2023,4.61
01/07/2023,3.99
01/06/2023,3.16
01/05/2023,3.94
01/04/2023,4.18
01/03/2023,4.65
01/02/2023,5.60
01/01/2023,5.77
01/12/2022,5.79
01/11/2022,5.90
01/10/2022,6.47
01/09/2022,7.17
01/08/2022,8.73
01/07/2022,10.07
01/06/2022,11.89
01/05/2022,11.73
01/04/2022,12.13
01/03/2022,11.30
01/02/2022,10.54
01/01/2022,10.38
01/12/2021,10.06
01/11/2021,10.74
01/10/2021,10.67
01/09/2021,10.25
01/08/2021,9.68
01/07/2021,8.99
01/06/2021,8.35
01/05/2021,8.06
01/04/2021,6.76
01/03/2021,6.10
01/02/2021,5.20
01/01/2021,4.56
01/12/2020,4.52
01/11/2020,4.31
01/10/2020,3.92
01/09/2020,3.14
01/08/2020,2.44
01/07/2020,2.31
01/06/2020,2.13
01/05/2020,1.88
01/04/2020,2.40
01/03/2020,3.30
01/02/2020,4.01
01/01/2020,4.19
