date,value
08/11/2023,12.25
07/11/2023,12.25
06/11/2023,12.25
05/11/2023,12.25
04/11/2023,12.25
03/11/2023,12.25
02/11/2023,12.25
01/11/2023,12.75
31/10/2023,12.75
30/10/2023,12.75
29/10/2023,12.75
28/10/2023,12.75
27/10/2023,12.75
26/10/2023,12.75
25/10/2023,12.75
24/10/2023,12.75
23/10/2023,12.75
22/10/2023,12.75
21/10/2023,12.75
20/10/2023,12.75
19/10/2023,12.75
18/10/2023,12.75
17/10/2023,12.75
16/10/2023,12.75
15/10/2023,12.75
14/10/2023,12.75
13/10/2023,12.75
12/10/2023,12.75
11/10/2023,12.75
10/10/2023,12.75
09/10/2023,12.75
08/10/2023,12.75
07/10/2023,12.75
06/10/2023,12.75
05/10/2023,12.75
04/10/2023,12.75
03/10/2023,12.75
02/10/2023,12.75
01/10/2023,12.75
30/09/2023,12.75
29/09/2023,12.75
28/09/2023,12.75
27/09/2023,12.75
26/09/2023,12.75
25/09/2023,12.75
24/09/2023,12.75
23/09/2023,12.75
22/09/2023,12.75
21/09/2023,12.75
20/09/2023,13.25
19/09/2023,13.25
18/09/2023,13.25
17/09/2023,13.25
16/09/2023,13.25
15/09/2023,13.25
14/09/2023,13.25
13/09/2023,13.25
12/09/2023,13.25
11/09/2023,13.25
10/09/2023,13.25
09/09/2023,13.25
08/09/2023,13.25
07/09/2023,13.25
06/09/2023,13.25
05/09/2023,13.25
04/09/2023,13.25
03/09/2023,13.25
02/09/2023,13.25
01/09/2023,13.25
31/08/2023,13.25
30/08/2023,13.25
29/08/2023,13.25
28/08/2023,13.25
27/08/2023,13.25
26/08/2023,13.25
25/08/2023,13.25
24/08/2023,13.25
23/08/2023,13.25
22/08/2023,13.25
21/08/2023,13.25
20/08/2023,13.25
19/08/2023,13.25
18/08/2023,13.25
17/08/2023,13.25
16/08/2023,13.25
15/08/2023,13.25
14/08/2023,13.25
13/08/2023,13.25
12/08/2023,13.25
11/08/2023,13.25
10/08/2023,13.25
09/08/2023,13.25
08/08/2023,13.25
07/08/2023,13.25
06/08/2023,13.25
05/08/2023,13.25
04/08/2023,13.25
03/08/2023,13.25
02/08/2023,13.75
01/08/2023,13.75
31/07/2023,13.75
30/07/2023,13.75
29/07/2023,13.75
28/07/2023,13.75
27/07/2023,13.75
26/07/2023,13.75
25/07/2023,13.75
24/07/2023,13.75
23/07/2023,13.75
22/07/2023,13.75
21/07/2023,13.75
20/07/2023,13.75
19/07/2023,13.75
18/07/2023,13.75
17/07/2023,13.75
16/07/2023,13.75
15/07/2023,13.75
14/07/2023,13.75
13/07/2023,13.75
12/07/2023,13.75
11/07/2023,13.75
10/07/2023,13.75
09/07/2023,13.75
08/07/2023,13.75
07/07/2023,13.75
06/07/2023,13.75
05/07/2023,13.75
04/07/2023,13.75
03/07/2023,13.75
02/07/2023,13.75
01/07/2023,13.75
30/06/2023,13.75
29/06/2023,13.75
28/06/2023,13.75
27/06/2023,13.75
26/06/2023,13.75
25/06/2023,13.75
24/06/2023,13.75
23/06/2023,13.75
22/06/2023,13.75
21/06/2023,13.75
20/06/2023,13.75
19/06/2023,13.75
18/06/2023,13.75
17/06/2023,13.75
16/06/2023,13.75
15/06/2023,13.75
14/06/2023,13.75
13/06/2023,13.75
12/06/2023,13.75
11/06/2023,13.75
10/06/2023,13.75
09/06/2023,13.75
08/06/2023,13.75
07/06/2023,13.75
06/06/2023,13.75
05/06/2023,13.75
04/06/2023,13.75
03/06/2023,13.75
02/06/2023,13.75
01/06/2023,13.75
31/05/2023,13.75
30/05/2023,13.75
29/05/2023,13.75
28/05/2023,13.75
27/05/2023,13.75
26/05/2023,13.75
25/05/2023,13.75
24/05/2023,13.75
23/05/2023,13.75
22/05/2023,13.75
21/05/2023,13.75
20/05/2023,13.75
19/05/2023,13.75
18/05/2023,13.75
17/05/2023,13.75
16/05/2023,13.75
15/05/2023,13.75
14/05/2023,13.75
13/05/2023,13.75
12/05/2023,13.75
11/05/2023,13.75
10/05/2023,13.75
09/05/2023,13.75
08/05/2023,13.75
07/05/2023,13.75
06/05/2023,13.75
05/05/2023,13.75
04/05/2023,13.75
03/05/2023,13.75
02/05/2023,13.75
01/05/2023,13.75
30/04/2023,13.75
29/04/2023,13.75
28/04/2023,13.75
27/04/2023,13.75
26/04/2023,13.75
25/04/2023,13.75
24/04/2023,13.75
23/04/2023,13.75
22/04/2023,13.75
21/04/2023,13.75
20/04/2023,13.75
19/04/2023,13.75
18/04/2023,13.75
17/04/2023,13.75
16/04/2023,13.75
15/04/2023,13.75
14/04/2023,13.75
13/04/2023,13.75
12/04/2023,13.75
11/04/2023,13.75
10/04/2023,13.75
09/04/2023,13.75
08/04/2023,13.75
07/04/2023,13.75
06/04/2023,13.75
05/04/2023,13.75
04/04/2023,13.75
03/04/2023,13.75
02/04/2023,13.75
01/04/2023,13.75
31/03/2023,13.75
30/03/2023,13.75
29/03/2023,13.75
28/03/2023,13.75
